quote,author,type
Showing off is the fool's idea of glory.,Bruce Lee,bruce-lee
"As you think, so shall you become.",Bruce Lee,bruce-lee
"The less effort, the faster and more powerful you will be.",Bruce Lee,bruce-lee
The possession of anything begins in the mind.,Bruce Lee,bruce-lee
"Ever since I was a child I have had this instinctive urge for expansion and growth. To me, the function and duty of a quality human being is the sincere and honest development of one's potential.",Bruce Lee,bruce-lee
Obey the principles without being bound by them.,Bruce Lee,bruce-lee
A quick temper will make a fool of you soon enough.,Bruce Lee,bruce-lee
To hell with circumstances; I create opportunities.,Bruce Lee,bruce-lee
Real living is living for others.,Bruce Lee,bruce-lee
All fixed set patterns are incapable of adaptability or pliability. The truth is outside of all fixed patterns.,Bruce Lee,bruce-lee
To know oneself is to study oneself in action with another person.,Bruce Lee,bruce-lee
Take things as they are. Punch when you have to punch. Kick when you have to kick.,Bruce Lee,bruce-lee
"To me, the extraordinary aspect of martial arts lies in its simplicity. The easy way is also the right way, and martial arts is nothing at all special; the closer to the true way of martial arts, the less wastage of expression there is.",Bruce Lee,bruce-lee
Take no thought of who is right or wrong or who is better than. Be not for or against.,Bruce Lee,bruce-lee
You just wait. I'm going to be the biggest Chinese Star in the world.,Bruce Lee,bruce-lee
"Man, the living creature, the creating individual, is always more important than any established style or system.",Bruce Lee,bruce-lee
"The essence of science is independent thinking, hard work, and not equipment. When I got my Nobel Prize, I had spent hardly 200 rupees on my equipment.",C. V. Raman,c-v-raman
"We must teach science in the mother tongue. Otherwise, science will become a highbrow activity. It will not be an activity in which all people can participate.",C. V. Raman,c-v-raman
I would like to tell the young men and women before me not to lose hope and courage. Success can only come to you by courageous devotion to the task lying in front of you.,C. V. Raman,c-v-raman
It is not often that idealism of student days finds adequate opportunity for expression in the later life of manhood.,C. V. Raman,c-v-raman
"In the history of science, we often find that the study of some natural phenomenon has been the starting point in the development of a new branch of knowledge.",C. V. Raman,c-v-raman
"We need a spirit of victory, a spirit that will carry us to our rightful place under the sun, a spirit which can recognize that we, as inheritors of a proud civilization, are entitled to our rightful place on this planet. If that indomitable spirit were to arise, nothing can hold us from achieving our rightful destiny.",C. V. Raman,c-v-raman
A voyage to Europe in the summer of 1921 gave me the first opportunity of observing the wonderful blue opalescence of the Mediterranean Sea. It seemed not unlikely that the phenomenon owed its origin to the scattering of sunlight by the molecules of the water.,C. V. Raman,c-v-raman
"I feel it is unnatural and immoral to try to teach science to children in a foreign language They will know facts, but they will miss the spirit.",C. V. Raman,c-v-raman
"We have, I think, developed an inferiority complex. I think what is needed in India today is the destruction of that defeatist spirit.",C. V. Raman,c-v-raman
"It is generally believed that it is the students who derive benefit by working under the guidance of a professor. In reality, the professor benefits equally by his association with gifted students working under him.",C. V. Raman,c-v-raman
"It was the late Dr. Mahendra Lal Sircar who, by founding the Indian Association for the Cultivation of Science, made it possible for the scientific aspirations of my early years to continue burning brightly.",C. V. Raman,c-v-raman
"In the first English class I attended, Prof. E. H. Elliot, addressing me, asked if I really belonged to the Junior B. A. class, and I had to answer him in the affirmative. He then proceeded to inquire how old I was.",C. V. Raman,c-v-raman
I have always thought it a great privilege to have as my colleague in the Palit Chair of Chemistry such a distinguished pioneer in scientific research and education in Bengal as Sir Prafulla Ray. It has been invariably my experience that I could count on his cooperation and sympathy in every matter concerning my scientific work.,C. V. Raman,c-v-raman
"It was my great good fortune, while I was still a student at college, to have possessed a copy of an English translation of his great work 'The Sensations of Tone.' As is well known, this was one of Helmholtz's masterpieces.",C. V. Raman,c-v-raman
"I strongly believe that fundamental science cannot be driven by instructional, industrial, governmental or military pressures. This was the reason why I decided, as far as possible, not to accept money from the government.",C. V. Raman,c-v-raman
"When we consider the fact that nearly three-quarters of the surface of the globe is covered by oceanic water, we begin to realise that the molecular scattering of light in liquids may possess an astronomical significance, in fact contribute in an important degree to the observed albedo of the earth.",C. V. Raman,c-v-raman
"It seemed, indeed, that the study of light-scattering might carry one into the deepest problems of physics and chemistry, and it was this belief which led to the subject becoming the main theme of our activities at Calcutta from that time onwards.",C. V. Raman,c-v-raman
The whole edifice of modern physics is built up on the fundamental hypothesis of the atomic or molecular constitution of matter.,C. V. Raman,c-v-raman
All the instruments of percussion known to European science are essentially nonmusical and can only be tolerated in open air music or in large orchestras where a little noise more or less makes no difference.,C. V. Raman,c-v-raman
"Towards the end of February 1928, I took the decision of using brilliant monochromatic illumination obtained by the aid of the commercially available mercury arcs sealed in quartz tubes.",C. V. Raman,c-v-raman
"Is there any more encouraging sign than to see an Indian, who has never been to a university, like our friend Mr. Asutosh Dey here, for example, carrying out original work and finding it recognized by the foremost societies of the world?",C. V. Raman,c-v-raman
"To an observer situated on the moon or on one of the planets, the most noticeable feature on the surface of our globe would no doubt be the large areas covered by oceanic water. The sunlit face of the earth would appear to shine by the light diffused back into space from the land and water-covered areas.",C. V. Raman,c-v-raman
"From Calcutta has gone forth a living stream of knowledge in many branches of study. It is inspiring to think of the long succession of scholars, both Indian and European, who have lived in this city, made it their own, and given it of their best.",C. V. Raman,c-v-raman
"The fundamental importance of the subject of molecular diffraction came first to be recognized through the theoretical work of the late Lord Rayleigh on the blue light of the sky, which he showed to be the result of the scattering of sunlight by the gases of the atmosphere.",C. V. Raman,c-v-raman
It will soon be 25 years from the date of publication of my first research work. That the scientific aspirations kindled by that early work did not suffer extinction has been due entirely to the opportunities provided for me by the great city of Calcutta.,C. V. Raman,c-v-raman
Everything that irritates us about others can lead us to an understanding of ourselves.,Carl Jung,carl-jung
"Who looks outside, dreams; who looks inside, awakes.",Carl Jung,carl-jung
"We cannot change anything until we accept it. Condemnation does not liberate, it oppresses.",Carl Jung,carl-jung
"Your vision will become clear only when you can look into your own heart. Who looks outside, dreams; who looks inside, awakes.",Carl Jung,carl-jung
Knowing your own darkness is the best method for dealing with the darknesses of other people.,Carl Jung,carl-jung
"A particularly beautiful woman is a source of terror. As a rule, a beautiful woman is a terrible disappointment.",Carl Jung,carl-jung
"Even a happy life cannot be without a measure of darkness, and the word happy would lose its meaning if it were not balanced by sadness. It is far better take things as they come along with patience and equanimity.",Carl Jung,carl-jung
"One looks back with appreciation to the brilliant teachers, but with gratitude to those who touched our human feelings. The curriculum is so much necessary raw material, but warmth is the vital element for the growing plant and for the soul of the child.",Carl Jung,carl-jung
"In all chaos there is a cosmos, in all disorder a secret order.",Carl Jung,carl-jung
"Where love rules, there is no will to power; and where power predominates, there love is lacking. The one is the shadow of the other.",Carl Jung,carl-jung
"As far as we can discern, the sole purpose of human existence is to kindle a light in the darkness of mere being.",Carl Jung,carl-jung
The shoe that fits one person pinches another; there is no recipe for living that suits all cases.,Carl Jung,carl-jung
"The meeting of two personalities is like the contact of two chemical substances: if there is any reaction, both are transformed.",Carl Jung,carl-jung
"It all depends on how we look at things, and not how they are in themselves.",Carl Jung,carl-jung
The word 'happy' would lose its meaning if it were not balanced by sadness.,Carl Jung,carl-jung
The healthy man does not torture others - generally it is the tortured who turn into torturers.,Carl Jung,carl-jung
Children are educated by what the grown-up is and not by his talk.,Carl Jung,carl-jung
"Every form of addiction is bad, no matter whether the narcotic be alcohol or morphine or idealism.",Carl Jung,carl-jung
There is no coming to consciousness without pain.,Carl Jung,carl-jung
Man needs difficulties; they are necessary for health.,Carl Jung,carl-jung
"If there is anything that we wish to change in the child, we should first examine it and see whether it is not something that could better be changed in ourselves.",Carl Jung,carl-jung
"The most intense conflicts, if overcome, leave behind a sense of security and calm that is not easily disturbed. It is just these intense conflicts and their conflagration which are needed to produce valuable and lasting results.",Carl Jung,carl-jung
"The pendulum of the mind alternates between sense and nonsense, not between right and wrong.",Carl Jung,carl-jung
"We are born at a given moment, in a given place and, like vintage years of wine, we have the qualities of the year and of the season of which we are born. Astrology does not lay claim to anything more.",Carl Jung,carl-jung
"When an inner situation is not made conscious, it appears outside as fate.",Carl Jung,carl-jung
The creation of something new is not accomplished by the intellect but by the play instinct acting from inner necessity. The creative mind plays with the objects it loves.,Carl Jung,carl-jung
A man who has not passed through the inferno of his passions has never overcome them.,Carl Jung,carl-jung
There is no such thing as a pure introvert or extrovert. Such a person would be in the lunatic asylum.,Carl Jung,carl-jung
"If one does not understand a person, one tends to regard him as a fool.",Carl Jung,carl-jung
The greatest and most important problems of life are all fundamentally insoluble. They can never be solved but only outgrown.,Carl Jung,carl-jung
Show me a sane man and I will cure him for you.,Carl Jung,carl-jung
Often the hands will solve a mystery that the intellect has struggled with in vain.,Carl Jung,carl-jung
"Knowledge rests not upon truth alone, but upon error also.",Carl Jung,carl-jung
Masses are always breeding grounds of psychic epidemics.,Carl Jung,carl-jung
The debt we owe to the play of imagination is incalculable.,Carl Jung,carl-jung
"Through pride we are ever deceiving ourselves. But deep down below the surface of the average conscience a still, small voice says to us, something is out of tune.",Carl Jung,carl-jung
"For a young person, it is almost a sin, or at least a danger, to be too preoccupied with himself; but for the ageing person, it is a duty and a necessity to devote serious attention to himself.",Carl Jung,carl-jung
"The collective unconscious consists of the sum of the instincts and their correlates, the archetypes. Just as everybody possesses instincts, so he also possesses a stock of archetypal images.",Carl Jung,carl-jung
Follow that will and that way which experience confirms to be your own.,Carl Jung,carl-jung
Neurosis is always a substitute for legitimate suffering.,Carl Jung,carl-jung
The least of things with a meaning is worth more in life than the greatest of things without it.,Carl Jung,carl-jung
There is no birth of consciousness without pain.,Carl Jung,carl-jung
"I have treated many hundreds of patients. Among those in the second half of life - that is to say, over 35 - there has not been one whose problem in the last resort was not that of finding a religious outlook on life.",Carl Jung,carl-jung
A human being would certainly not grow to be seventy or eighty years old if this longevity had no meaning for the species. The afternoon of human life must also have a significance of its own and cannot be merely a pitiful appendage to life's morning.,Carl Jung,carl-jung
We deem those happy who from the experience of life have learnt to bear its ills without being overcome by them.,Carl Jung,carl-jung
Who has fully realized that history is not contained in thick books but lives in our very blood?,Carl Jung,carl-jung
"Mistakes are, after all, the foundations of truth, and if a man does not know what a thing is, it is at least an increase in knowledge if he knows what it is not.",Carl Jung,carl-jung
We should not pretend to understand the world only by the intellect. The judgement of the intellect is only part of the truth.,Carl Jung,carl-jung
Dreams are the guiding words of the soul. Why should I henceforth not love my dreams and not make their riddling images into objects of my daily consideration?,Carl Jung,carl-jung
Resistance to the organized mass can be effected only by the man who is as well organized in his individuality as the mass itself.,Carl Jung,carl-jung
"Man is not a machine that can be remodelled for quite other purposes as occasion demands, in the hope that it will go on functioning as regularly as before but in a quite different way. He carries his whole history with him; in his very structure is written the history of mankind.",Carl Jung,carl-jung
"The man who promises everything is sure to fulfil nothing, and everyone who promises too much is in danger of using evil means in order to carry out his promises, and is already on the road to perdition.",Carl Jung,carl-jung
"We shall probably get nearest to the truth if we think of the conscious and personal psyche as resting upon the broad basis of an inherited and universal psychic disposition which is as such unconscious, and that our personal psyche bears the same relation to the collective psyche as the individual to society.",Carl Jung,carl-jung
Man's task is to become conscious of the contents that press upward from the unconscious.,Carl Jung,carl-jung
"Understanding does not cure evil, but it is a definite help, inasmuch as one can cope with a comprehensible darkness.",Carl Jung,carl-jung
All the works of man have their origin in creative fantasy. What right have we then to depreciate imagination.,Carl Jung,carl-jung
"A psychoneurosis must be understood, ultimately, as the suffering of a soul which has not discovered its meaning.",Carl Jung,carl-jung
Shrinking away from death is something unhealthy and abnormal which robs the second half of life of its purpose.,Carl Jung,carl-jung
"The Christ-symbol is of the greatest importance for psychology in so far as it is perhaps the most highly developed and differentiated symbol of the self, apart from the figure of the Buddha.",Carl Jung,carl-jung
It is a fact that cannot be denied: the wickedness of others becomes our own wickedness because it kindles something evil in our own hearts.,Carl Jung,carl-jung
The fragrance of flowers spreads only in the direction of the wind. But the goodness of a person spreads in all directions.,Chanakya,chanakya
Education is the best friend. An educated person is respected everywhere. Education beats the beauty and the youth.,Chanakya,chanakya
"A good wife is one who serves her husband in the morning like a mother does, loves him in the day like a sister does and pleases him like a prostitute in the night.",Chanakya,chanakya
A person should not be too honest. Straight trees are cut first and honest people are screwed first.,Chanakya,chanakya
There is some self-interest behind every friendship. There is no friendship without self-interests. This is a bitter truth.,Chanakya,chanakya
"Even if a snake is not poisonous, it should pretend to be venomous.",Chanakya,chanakya
"A man is great by deeds, not by birth.",Chanakya,chanakya
"Before you start some work, always ask yourself three questions - Why am I doing it, What the results might be and Will I be successful. Only when you think deeply and find satisfactory answers to these questions, go ahead.",Chanakya,chanakya
"Treat your kid like a darling for the first five years. For the next five years, scold them. By the time they turn sixteen, treat them like a friend. Your grown up children are your best friends.",Chanakya,chanakya
The biggest guru-mantra is: never share your secrets with anybody. It will destroy you.,Chanakya,chanakya
A man is born alone and dies alone; and he experiences the good and bad consequences of his karma alone; and he goes alone to hell or the Supreme abode.,Chanakya,chanakya
"Once you start a working on something, don't be afraid of failure and don't abandon it. People who work sincerely are the happiest.",Chanakya,chanakya
The world's biggest power is the youth and beauty of a woman.,Chanakya,chanakya
"As soon as the fear approaches near, attack and destroy it.",Chanakya,chanakya
Books are as useful to a stupid person as a mirror is useful to a blind person.,Chanakya,chanakya
"It is better to die than to preserve this life by incurring disgrace. The loss of life causes but a moment's grief, but disgrace brings grief every day of one's life.",Chanakya,chanakya
"We should not fret for what is past, nor should we be anxious about the future; men of discernment deal only with the present moment.",Chanakya,chanakya
"Purity of speech, of the mind, of the senses, and of a compassionate heart are needed by one who desires to rise to the divine platform.",Chanakya,chanakya
"The serpent, the king, the tiger, the stinging wasp, the small child, the dog owned by other people, and the fool: these seven ought not to be awakened from sleep.",Chanakya,chanakya
"Test a servant while in the discharge of his duty, a relative in difficulty, a friend in adversity, and a wife in misfortune.",Chanakya,chanakya
He who lives in our mind is near though he may actually be far away; but he who is not in our heart is far though he may really be nearby.,Chanakya,chanakya
Never make friends with people who are above or below you in status. Such friendships will never give you any happiness.,Chanakya,chanakya
"He who is overly attached to his family members experiences fear and sorrow, for the root of all grief is attachment. Thus one should discard attachment to be happy.",Chanakya,chanakya
"One whose knowledge is confined to books and whose wealth is in the possession of others, can use neither his knowledge nor wealth when the need for them arises.",Chanakya,chanakya
"There is no austerity equal to a balanced mind, and there is no happiness equal to contentment; there is no disease like covetousness, and no virtue like mercy.",Chanakya,chanakya
"There is poison in the fang of the serpent, in the mouth of the fly and in the sting of a scorpion; but the wicked man is saturated with it.",Chanakya,chanakya
The earth is supported by the power of truth; it is the power of truth that makes the sun shine and the winds blow; indeed all things rest upon truth.,Chanakya,chanakya
"The wise man should restrain his senses like the crane and accomplish his purpose with due knowledge of his place, time and ability.",Chanakya,chanakya
"As long as your body is healthy and under control and death is distant, try to save your soul; when death is immanent what can you do?",Chanakya,chanakya
"God doesn't dwell in the wooden, stony or earthen idols. His abode is in our feelings, our thoughts.",Chanakya,chanakya
"The life of an uneducated man is as useless as the tail of a dog which neither covers its rear end, nor protects it from the bites of insects.",Chanakya,chanakya
"Do not reveal what you have thought upon doing, but by wise council keep it secret being determined to carry it into execution.",Chanakya,chanakya
The happiness and peace attained by those satisfied by the nectar of spiritual tranquillity is not attained by greedy persons restlessly moving here and there.,Chanakya,chanakya
The one excellent thing that can be learned from a lion is that whatever a man intends doing should be done by him with a whole-hearted and strenuous effort.,Chanakya,chanakya
Do not be very upright in your dealings for you would see by going to the forest that straight trees are cut down while crooked ones are left standing.,Chanakya,chanakya
O wise man! Give your wealth only to the worthy and never to others. The water of the sea received by the clouds is always sweet.,Chanakya,chanakya
"As a single withered tree, if set aflame, causes a whole forest to burn, so does a rascal son destroy a whole family.",Chanakya,chanakya
"If one has a good disposition, what other virtue is needed? If a man has fame, what is the value of other ornamentation?",Chanakya,chanakya
A loving heart is the truest wisdom.,Charles Dickens,charles-dickens
We forge the chains we wear in life.,Charles Dickens,charles-dickens
"It is a far, far better thing that I do, than I have ever done; it is a far, far better rest that I go to, than I have ever known.",Charles Dickens,charles-dickens
"If there were no bad people, there would be no good lawyers.",Charles Dickens,charles-dickens
The pain of parting is nothing to the joy of meeting again.,Charles Dickens,charles-dickens
"Have a heart that never hardens, and a temper that never tires, and a touch that never hurts.",Charles Dickens,charles-dickens
A day wasted on others is not wasted on one's self.,Charles Dickens,charles-dickens
No one is useless in this world who lightens the burden of it to anyone else.,Charles Dickens,charles-dickens
The whole difference between construction and creation is exactly this: that a thing constructed can only be loved after it is constructed; but a thing created is loved before it exists.,Charles Dickens,charles-dickens
"Nature gives to every time and season some beauties of its own; and from morning to night, as from the cradle to the grave, it is but a succession of changes so gentle and easy that we can scarcely mark their progress.",Charles Dickens,charles-dickens
Electric communication will never be a substitute for the face of someone who with their soul encourages another person to be brave and true.,Charles Dickens,charles-dickens
"There are dark shadows on the earth, but its lights are stronger in the contrast.",Charles Dickens,charles-dickens
"Whatever I have tried to do in life, I have tried with all my heart to do it well; whatever I have devoted myself to, I have devoted myself completely; in great aims and in small I have always thoroughly been in earnest.",Charles Dickens,charles-dickens
"It was one of those March days when the sun shines hot and the wind blows cold: when it is summer in the light, and winter in the shade.",Charles Dickens,charles-dickens
"A wonderful fact to reflect upon, that every human creature is constituted to be that profound secret and mystery to every other.",Charles Dickens,charles-dickens
"I never could have done what I have done without the habits of punctuality, order, and diligence, without the determination to concentrate myself on one subject at a time.",Charles Dickens,charles-dickens
"I will honor Christmas in my heart, and try to keep it all the year.",Charles Dickens,charles-dickens
There is nothing so strong or safe in an emergency of life as the simple truth.,Charles Dickens,charles-dickens
It is a melancholy truth that even great men have their poor relations.,Charles Dickens,charles-dickens
"It was the best of times, it was the worst of times.",Charles Dickens,charles-dickens
"Home is a name, a word, it is a strong one; stronger than magician ever spoke, or spirit ever answered to, in the strongest conjuration.",Charles Dickens,charles-dickens
"An idea, like a ghost, must be spoken to a little before it will explain itself.",Charles Dickens,charles-dickens
He would make a lovely corpse.,Charles Dickens,charles-dickens
Life is made of ever so many partings welded together.,Charles Dickens,charles-dickens
"Reflect upon your present blessings of which every man has many - not on your past misfortunes, of which all men have some.",Charles Dickens,charles-dickens
"There is a wisdom of the head, and a wisdom of the heart.",Charles Dickens,charles-dickens
There are strings in the human heart that had better not be vibrated.,Charles Dickens,charles-dickens
Vices are sometimes only virtues carried to excess!,Charles Dickens,charles-dickens
I only ask to be free. The butterflies are free.,Charles Dickens,charles-dickens
"Charity begins at home, and justice begins next door.",Charles Dickens,charles-dickens
There are books of which the backs and covers are by far the best parts.,Charles Dickens,charles-dickens
A boy's story is the best that is ever told.,Charles Dickens,charles-dickens
Fan the sinking flame of hilarity with the wing of friendship; and pass the rosy wine.,Charles Dickens,charles-dickens
We are so very 'umble.,Charles Dickens,charles-dickens
"Little Red Riding Hood was my first love. I felt that if I could have married Little Red Riding Hood, I should have known perfect bliss.",Charles Dickens,charles-dickens
The first rule of business is: Do other men for they would do you.,Charles Dickens,charles-dickens
"The men who learn endurance, are they who call the whole world, brother.",Charles Dickens,charles-dickens
Let us be moral. Let us contemplate existence.,Charles Dickens,charles-dickens
Great men are seldom over-scrupulous in the arrangement of their attire.,Charles Dickens,charles-dickens
"'Tis love that makes the world go round, my baby.",Charles Dickens,charles-dickens
"I have known a vast quantity of nonsense talked about bad men not looking you in the face. Don't trust that conventional idea. Dishonesty will stare honesty out of countenance any day in the week, if there is anything to be got by it.",Charles Dickens,charles-dickens
"It opens the lungs, washes the countenance, exercises the eyes, and softens down the temper; so cry away.",Charles Dickens,charles-dickens
"The civility which money will purchase, is rarely extended to those who have none.",Charles Dickens,charles-dickens
"He had but one eye, and the popular prejudice runs in favor of two.",Charles Dickens,charles-dickens
There are only two styles of portrait painting; the serious and the smirk.,Charles Dickens,charles-dickens
"To conceal anything from those to whom I am attached, is not in my nature. I can never close my lips where I have opened my heart.",Charles Dickens,charles-dickens
"Bring in the bottled lightning, a clean tumbler, and a corkscrew.",Charles Dickens,charles-dickens
"Papa, potatoes, poultry, prunes and prism, are all very good words for the lips.",Charles Dickens,charles-dickens
"Happy, happy Christmas, that can win us back to the delusions of our childhood days, recall to the old man the pleasures of his youth, and transport the traveler back to his own fireside and quiet home!",Charles Dickens,charles-dickens
"Send forth the child and childish man together, and blush for the pride that libels our own old happy state, and gives its title to an ugly and distorted image.",Charles Dickens,charles-dickens
"This is a world of action, and not for moping and droning in.",Charles Dickens,charles-dickens
"Cows are my passion. What I have ever sighed for has been to retreat to a Swiss farm, and live entirely surrounded by cows - and china.",Charles Dickens,charles-dickens
Regrets are the natural property of grey hairs.,Charles Dickens,charles-dickens
You don't carry in your countenance a letter of recommendation.,Charles Dickens,charles-dickens
"Subdue your appetites, my dears, and you've conquered human nature.",Charles Dickens,charles-dickens
The age of chivalry is past. Bores have succeeded to dragons.,Charles Dickens,charles-dickens
"In the little world in which children have their existence, whosoever brings them up, there is nothing so finely perceived and so finely felt, as injustice.",Charles Dickens,charles-dickens
"Dignity, and even holiness too, sometimes, are more questions of coat and waistcoat than some people imagine.",Charles Dickens,charles-dickens
The one great principle of English law is to make business for itself.,Charles Dickens,charles-dickens
Any man may be in good spirits and good temper when he's well dressed. There ain't much credit in that.,Charles Dickens,charles-dickens
Life is 10% what happens to you and 90% how you react to it.,Charles R. Swindoll,charles-r-swindoll
"We cannot change our past. We can not change the fact that people act in a certain way. We can not change the inevitable. The only thing we can do is play on the one string we have, and that is our attitude.",Charles R. Swindoll,charles-r-swindoll
We are all faced with a series of great opportunities brilliantly disguised as impossible situations.,Charles R. Swindoll,charles-r-swindoll
"I cannot even imagine where I would be today were it not for that handful of friends who have given me a heart full of joy. Let's face it, friends make life a lot more fun.",Charles R. Swindoll,charles-r-swindoll
The difference between something good and something great is attention to detail.,Charles R. Swindoll,charles-r-swindoll
Each day of our lives we make deposits in the memory banks of our children.,Charles R. Swindoll,charles-r-swindoll
"The remarkable thing is, we have a choice everyday regarding the attitude we will embrace for that day.",Charles R. Swindoll,charles-r-swindoll
Prejudice is a learned trait. You're not born prejudiced; you're taught it.,Charles R. Swindoll,charles-r-swindoll
"Attitude is more important than the past, than education, than money, than circumstances, than what people do or say. It is more important than appearance, giftedness, or skill.",Charles R. Swindoll,charles-r-swindoll
A family is a place where principles are hammered and honed on the anvil of everyday living.,Charles R. Swindoll,charles-r-swindoll
A teardrop on earth summons the King of heaven.,Charles R. Swindoll,charles-r-swindoll
Words can never adequately convey the incredible impact of our attitudes toward life. The longer I live the more convinced I become that life is 10 percent what happens to us and 90 percent how we respond to it.,Charles R. Swindoll,charles-r-swindoll
"The secret of living a life of excellence is merely a matter of thinking thoughts of excellence. Really, it's a matter of programming our minds with the kind of information that will set us free.",Charles R. Swindoll,charles-r-swindoll
We need discernment in what we see and what we hear and what we believe.,Charles R. Swindoll,charles-r-swindoll
I'm here today to warn you: I want you to watch out for the adversary. Guard yourself from any spirit of entitlement. Restrain any and all subtle temptation to gain attention or to find ways to promote yourself.,Charles R. Swindoll,charles-r-swindoll
The swift wind of compromise is a lot more devastating than the sudden jolt of misfortune.,Charles R. Swindoll,charles-r-swindoll
When you have vision it affects your attitude. Your attitude is optimistic rather than pessimistic.,Charles R. Swindoll,charles-r-swindoll
I believe firmly in God's control in life.,Charles R. Swindoll,charles-r-swindoll
"I know of nothing more valuable, when it comes to the all-important virtue of authenticity, than simply being who you are.",Charles R. Swindoll,charles-r-swindoll
There is nothing more fearful for the average person in our society than to stand before a group of people and speak.,Charles R. Swindoll,charles-r-swindoll
Alleged 'impossibilities' are opportunities for our capacities to be stretched.,Charles R. Swindoll,charles-r-swindoll
I let people see the cracks in my life. We can't be phony. We've got to keep it real.,Charles R. Swindoll,charles-r-swindoll
"We can't solve modern problems by going back in time. Retreating to the safety of the familiar is an understandable response, but God has called us to a life of faith. And faith requires us to face the unknown while trusting Him completely.",Charles R. Swindoll,charles-r-swindoll
"'We really shouldn't look like a church.' I've heard that so much I want to vomit. 'Why?' I ask. 'Do you want your bank to look like a bank? Do you want your doctor's office to look like a doctor's office, or would you prefer your doctor to dress like a clown?'",Charles R. Swindoll,charles-r-swindoll
I have no interest in returning to yesteryear. I love the conveniences and delights of today's time. I wouldn't go back if I could.,Charles R. Swindoll,charles-r-swindoll
"As far back as I can remember, my mother would have me down by the bed at night with her, praying. I can still hear her voice calling my name to God and telling him that she wanted me to follow him in whatever he called me to do.",Charles R. Swindoll,charles-r-swindoll
Not every Christian finds it easy to believe.,Charles R. Swindoll,charles-r-swindoll
I am often the brunt of my own humor.,Charles R. Swindoll,charles-r-swindoll
"When you have a sense of calling, whether it's to be a musician, soloist, artist, in one of the technical fields, or a plumber, there is something deep and enriching when you realize it isn't just a casual choice, it's a divine calling. It's not limited to vocational Christian service by any means.",Charles R. Swindoll,charles-r-swindoll
"It is easy for Christians to have the false impression that once we have established a relationship with Christ, which we believe sets us right with God, the problems of life will somehow scoot away or they will slowly be removed from our lives.",Charles R. Swindoll,charles-r-swindoll
There is plenty of television. There are plenty of talk shows. There are plenty of comedians. But there is not plenty of worship of the true and living God.,Charles R. Swindoll,charles-r-swindoll
"It's the most exciting thing to watch God work when I've asked him about something, to listen to him and watch him work. It's like this friendship, and it just grows and grows and grows and grows.",Charles R. Swindoll,charles-r-swindoll
The wonderful thing about God is he knows what we need to persuade us.,Charles R. Swindoll,charles-r-swindoll
"You and I are, by birth, by nature, and by choice, inwardly depraved, which is to say that we are entirely corrupt. That's not to say that we have no good in us; we do. However, anything good in us has been tainted with evil. It touches everything. Without the redeeming power of Christ we cannot halt our own moral slide.",Charles R. Swindoll,charles-r-swindoll
"I'm not against screens, or new songs, or innovation. I just don't like the gimmicks. I want to know when worship is over that that leader's sole purpose was to glorify the Lord Jesus Christ.",Charles R. Swindoll,charles-r-swindoll
"The world has changed and it's going to keep changing, but God never changes; so we are safe when we cling to Him.",Charles R. Swindoll,charles-r-swindoll
"Because God gave you your makeup and superintended every moment of your past, including all the hardship, pain, and struggles, He wants to use your words in a unique manner. No one else can speak through your vocal cords, and, equally important, no one else has your story.",Charles R. Swindoll,charles-r-swindoll
One of the worst things you can give to your people is someone you're not.,Charles R. Swindoll,charles-r-swindoll
"When I think of vision, I have in mind the ability to see above and beyond the majority.",Charles R. Swindoll,charles-r-swindoll
"While I was raised around churches and had gotten to know a few preachers fairly well, the thought never entered my head that I would one day stand and deliver. Not only was I not interested, I lived with a major struggle: I stuttered.",Charles R. Swindoll,charles-r-swindoll
I want to preach till the last breath in my lungs runs out.,Charles R. Swindoll,charles-r-swindoll
"Sometimes I wake up before dawn, and I love sitting up in the middle of the bed with all the lights off, pitch-black dark, and talking to the Father, with no interruptions and nothing that reminds me that there's anything in life but me and Him.",Charles R. Swindoll,charles-r-swindoll
I think it is important to begin with a statement in your speech that grabs the attention of the audience. I try to make my opening line 15 words or less.,Charles R. Swindoll,charles-r-swindoll
"Nothing is more bothersome to me than retiring. Weird things happen when you disengage; first you get negative, then you start telling people about your latest surgeries, and eventually you lose touch. I want to stay in touch.",Charles R. Swindoll,charles-r-swindoll
We want a crowd to make us feel important and liked. But why is getting a crowd our focus? Jesus never suggested that crowds were the goal. He never addresses getting your church to grow. Never.,Charles R. Swindoll,charles-r-swindoll
"When you are giving people the gospel, you are giving them something to believe, and you have to set the stage for that. You don't just drive up and dump the truck and drive off.",Charles R. Swindoll,charles-r-swindoll
"One of my great goals in life is to live long enough to where I am in the pulpit, preaching my heart out, and I die on the spot, my chin hits the pulpit - boom! - and I'm down and out. What a way to die!",Charles R. Swindoll,charles-r-swindoll
"I am a preacher. I'm involved in many other things, but, mainly, I preach. And I love it!",Charles R. Swindoll,charles-r-swindoll
"If I ever wrote a book on preaching, it would contain three words: Preach the Word. Get rid of all the other stuff that gets you sidetracked; preach the Word.",Charles R. Swindoll,charles-r-swindoll
"When a church is spending more of its budget on media than shepherding, something is out of whack. We have gotten things twisted around.",Charles R. Swindoll,charles-r-swindoll
The revolution is not an apple that falls when it is ripe. You have to make it fall.,Che Guevara,che-guevara
"If you tremble with indignation at every injustice, then you are a comrade of mine.",Che Guevara,che-guevara
